,Country,Time,Value
375,Sweden,2015,32.6
376,Sweden,2013,26.5
377,Sweden,2020,38.0
378,Sweden,2014,27.6
379,Sweden,2010,26.4
380,Sweden,2016,36.9
381,Sweden,2011,24.7
382,Sweden,2012,25.5
383,Sweden,2021,37.9
384,Switzerland,2020,26.7
385,Switzerland,2016,17.5
386,Switzerland,2021,30.0
387,Switzerland,2018,22.3
388,Switzerland,2017,21.3
389,Switzerland,2019,24.9
390,Türkiye,2010,9.7
391,Türkiye,2011,11.0
392,Türkiye,2020,17.5
393,Türkiye,2012,9.6
394,Türkiye,2019,18.1
395,Türkiye,2016,12.6
396,Türkiye,2021,18.0
397,Türkiye,2017,13.4
398,Türkiye,2013,8.5
399,Türkiye,2018,15.3
400,Türkiye,2014,8.7
401,Türkiye,2015,10.4
402,United Kingdom,2011,16.3
403,United Kingdom,2020,34.7
404,United Kingdom,2016,27.0
405,United Kingdom,2010,13.3
406,United Kingdom,2014,24.2
407,United Kingdom,2012,18.8
408,United Kingdom,2015,27.8
409,United Kingdom,2018,29.9
410,United Kingdom,2013,21.0
411,United Kingdom,2019,32.6
412,United Kingdom,2017,27.2
413,United Kingdom,2021,37.8
414,United States,2019,26.1
415,United States,2017,21.7
416,United States,2016,20.3
417,United States,2018,23.4
418,United States,2020,28.2
419,United States,2021,29.7
