"time","_geo","geo","value","UNIT","_UNIT","EGROUP","_EGROUP","POSITION","_POSITION","sex","_sex","NACE","_NACE"
"2022-B1","IT","Italy",13.9,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","IT","Italy",86.1,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","LT","Lithuania",25.3,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","LT","Lithuania",74.7,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","LU","Luxembourg",4.3,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","LU","Luxembourg",95.7,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","LV","Latvia",24.1,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","LV","Latvia",75.9,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","MT","Malta",24.4,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","MT","Malta",75.6,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","NL","Netherlands",16.2,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","NL","Netherlands",83.8,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","NO","Norway",29.5,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","NO","Norway",70.5,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","PL","Poland",15.6,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","PL","Poland",84.4,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","PT","Portugal",19.7,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","PT","Portugal",80.3,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","RO","Romania",26.8,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","RO","Romania",73.2,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","SE","Sweden",27.5,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","SE","Sweden",72.5,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","SI","Slovenia",18.5,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","SI","Slovenia",81.5,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","SK","Slovakia",13.8,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","SK","Slovakia",86.2,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
"2022-B1","UK","United Kingdom",28.7,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Women","W","All sectors","TOT"
"2022-B1","UK","United Kingdom",71.3,"Percent of total","PC","Largest listed companies","COMP","Executives","EXEC","Men","M","All sectors","TOT"
