ref_area.label,indicator.label,source.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2015,19.3,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2016,24,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2017,22.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2018,31.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2019,41.3,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2017,12.2,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2018,15.7,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2020,17.7,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2004,28.6,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2005,26.3,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2006,29.4,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2008,29.9,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2009,34.4,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2010,32.1,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2011,30.2,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2012,32.3,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2013,36.5,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2014,38.6,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2017,32.6,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2018,33.2,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2019,33.1,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2020,37,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2021,37.4,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2010,33.5,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2011,27.6,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2012,29.9,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2013,32.9,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2014,35,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2015,35.3,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2016,36.2,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2017,35.1,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2018,33.8,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2019,34.6,,,Repository: ILO-STATISTICS - Micro data processing
Australia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),"HIES - Household, Income and Labour Dynamics Survey",2020,34.2,,,Repository: ILO-STATISTICS - Micro data processing
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2000,28.1,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2001,29.4,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2002,30.8,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2003,28.5,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2004,22.2,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2005,21.5,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2006,21,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2007,21,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2008,25.2,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2009,23.3,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2010,25.4,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2011,26.1,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2012,27.1,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2013,26.3,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2014,27.8,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2015,27.9,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2016,29.5,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2017,29.2,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2018,28.9,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2019,32,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2020,31.3,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2000,24.5,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2001,28.4,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2002,28,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2003,27.3,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2004,26.9,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2005,30.2,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2006,31.1,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2007,33.6,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2008,31.9,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2009,34.6,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2010,34.8,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2011,30.5,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2012,31.7,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2013,30.8,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2014,31.3,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2015,31,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2016,32,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2017,32.9,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2018,33.5,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2019,31.9,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2020,34.6,,,Repository: Eurostat special tabulation
Burkina Faso,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,2018,24,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Bangladesh,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2006,10.9,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2010,10,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2017,11.5,,,Repository: ILO-STATISTICS - Micro data processing
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2000,37.5,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2001,40.5,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2002,42.3,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2003,37.8,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2004,41.4,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2005,40.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2006,37.6,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2007,36.4,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2008,36.5,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2009,35.8,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2010,38.6,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2011,37,Break in series,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2012,35.5,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2013,36,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2014,35.4,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2015,37.4,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2016,39.3,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2017,39.3,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2018,39.3,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2019,39.2,,,Repository: Eurostat special tabulation
Bulgaria,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - EU Labour Force Survey,2020,42.4,,,Repository: Eurostat special tabulation
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2006,23.7,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2007,20.3,Unreliable,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2008,33.3,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2009,27.7,,Central tendency measure: Mean of the midpoints of the intervals provided,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2010,23.8,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2011,22.6,,Central tendency measure: Mean or mean of the midpoints of the intervals provided,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2012,23,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2013,21.4,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2014,24.2,,Central tendency measure: Mean or mean of the midpoints of the intervals provided,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2015,24.2,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2016,18.8,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2017,18.8,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2018,26.1,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2019,25.4,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2020,24.9,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2021,20.4,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Belarus,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2016,46,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old
Belarus,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2017,47.6,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old
Belarus,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2018,44.7,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old
Belarus,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2019,45.8,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old
Belarus,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2020,47.8,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old
Belize,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2015,39.1,,,Repository: ILO-STATISTICS - Micro data processing
Belize,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Labour Force Survey,2016,41.7,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Continua de Empleo,2016,30,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Continua de Empleo,2017,26.8,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),LFS - Encuesta Continua de Empleo,2018,30.4,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2005,32,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2007,29,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2008,34.7,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2009,35.1,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2011,35.7,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2012,32,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2013,31.1,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2014,35.5,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2015,34.4,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,SDG indicator 5.5.2 - Proportion of women in senior and middle management positions (%),HIES - Encuesta de Hogares,2019,28.2,,,Repository: ILO-STATISTICS - Micro data processing
