ref_area.label,indicator.label,source.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2001,27.2,,,,Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2002,25.8,,,,Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2003,28.9,,,Break in series: Other or unspecified type of break,Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2004,27.4,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2005,26.4,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2006,27.8,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2008,27.9,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2009,32.4,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2010,29.8,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2011,28,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2012,30.4,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2013,30.3,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2014,30.6,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2017,31.6,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2018,32.6,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2019,31.6,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2020,33,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Encuesta Permanente de Hogares (Urbano),2021,32.7,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2008,35.2,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2014,32.4,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2015,29.1,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2016,29.5,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2017,28.7,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2018,25.7,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2019,24.4,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Labour Force Survey,2020,28.1,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Households' Integrated Living Conditions Survey,2013,28.8,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),PC - Population Census,2011,31.7,,,,Data reference period: October | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 75 years old
Antigua and Barbuda,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),PC - Population Census,2001,45.1,,,,Data reference period: May
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2000,30,,,,Population coverage: Excluding armed forces and/or conscripts
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2001,31.8,,,,Population coverage: Excluding armed forces and/or conscripts
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2002,32.2,,,,Population coverage: Excluding armed forces and/or conscripts
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2003,32.7,,,,Population coverage: Excluding armed forces and/or conscripts
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2004,33.5,,,,Population coverage: Excluding armed forces and/or conscripts
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2005,34.4,,,,Population coverage: Excluding armed forces and/or conscripts
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2006,34.3,,,,Population coverage: Excluding armed forces and/or conscripts
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2007,34.3,,,,Population coverage: Excluding armed forces and/or conscripts
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2008,35.5,,,Working time arrangement coverage: Full-time and part time workers,"Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2009,35.5,,,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2010,34.4,,,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2011,36.1,,,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2012,35.7,,,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013,35.8,,,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014,36.3,,,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015,37.7,,,Working time arrangement coverage: Full-time and part time workers,"Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016,36.7,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017,38.7,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018,37.8,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019,39.2,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Australia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020,40,,,,"Employment definition: Excluding own-use production workers | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2000,30,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2001,30.1,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2002,29.3,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2003,27.4,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2004,26.3,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2005,26.8,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2006,27.9,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2007,26.2,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2008,28.1,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2009,27.3,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2010,28.9,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2011,27.5,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2012,30.1,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013,29.3,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014,30.3,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015,29.7,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016,31.8,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017,31.8,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018,31.6,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019,33.2,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2020,32.8,,,,Repository: Eurostat special tabulation
Austria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2021,35.5,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2000,26.9,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2001,27.6,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2002,25.3,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2003,24.4,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2004,29.6,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2005,28.2,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2006,23.2,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2007,22.1,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2008,24.7,,,,Population coverage: Excluding armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2009,19.2,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2010,25.5,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2011,32.8,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2012,34.2,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013,33,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014,34.5,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015,35.1,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016,34.9,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017,34.5,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018,38.1,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019,35.8,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020,35.5,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Burundi,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Enquête sur les Conditions de Vie des Ménages,2014,27.4,,,,Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
Burundi,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Enquête sur les Conditions de Vie des Ménages,2017,32.4,,,,Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2000,32.1,,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2001,32.9,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2002,31.8,,,,Repository: Eurostat special tabulation
Belgium,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2003,29.9,,,,Repository: Eurostat special tabulation
